GS ONLY publications,GS ONLY title,GS ONLY coauthors,SV ONLY publications,SV ONLY title,SV ONLY coauthors,shared publications,shared gs title,shared sv title,shared gs coauthors,shared sv coauthors
,,,,,,hydroxynorketamineimplicationsforthenmdareceptorhypothesisofketaminesantidepressantaction,Hydroxynorketamine: implications for the NMDA receptor hypothesis of ketamine’s antidepressant action,Hydroxynorketamine: Implications for the NMDA Receptor Hypothesis of Ketamine’s Antidepressant Action,"['Anthony Phillips', 'Yu Tian Wang']","['Anthony Phillips', 'Yu Tian Wang']"
,,,,,,apomorphineinducedchangesinsynapticdopaminelevelspositronemissiontomographyevidenceforpresynapticinhibition,Apomorphine-induced changes in synaptic dopamine levels: positron emission tomography evidence for presynaptic inhibition,Apomorphine-induced changes in synaptic dopamine levels: Positron emission tomography evidence for presynaptic inhibition,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,decreasedsubregionalspecificityoftheputameninparkinsonsdiseaserevealedbydynamicconnectivityderivedparcellation,Decreased subregional specificity of the putamen in Parkinson's Disease revealed by dynamic connectivity-derived parcellation,Decreased subregional specificity of the putamen in Parkinson's Disease revealed by dynamic connectivity-derived parcellation,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,nfe2relatedfactor2mediatesneuroprotectionagainstmitochondrialcomplexiinhibitorsandincreasedconcentrationsofintracellularcalciuminprimarycorticalneurons,NF-E2-related factor-2 mediates neuroprotection against mitochondrial complex I inhibitors and increased concentrations of intracellular calcium in primary cortical neurons,NF-E2-related factor-2 mediates neuroprotection against mitochondrial complex I inhibitors and increased concentrations of intracellular calcium in primary cortical neurons,"['Tim H. Murphy', 'Andy Shih']","['Tim H. Murphy', 'Andy Shih']"
,,,,,,cognitiveflexibilityandlongtermdepressionltdareimpairedfollowingβcateninstabilizationinvivo,Cognitive flexibility and long-term depression (LTD) are impaired following β-catenin stabilization in vivo,Cognitive flexibility and long-term depression (LTD) are impaired following β-catenin stabilization in vivo,"['Brian MacVicar', 'Shernaz Bamji']","['Brian MacVicar', 'Shernaz Bamji', 'Yu Tian Wang']"
,,,,,,dopaminetransporterrelationtolevodopaderivedsynapticdopamineinaratmodelofparkinsonsaninvivoimagingstudy,Dopamine transporter relation to levodopa‐derived synaptic dopamine in a rat model of Parkinson’s: an in vivo imaging study,Dopamine transporter relation to levodopa-derived synaptic dopamine in a rat model of Parkinson's: An in vivo imaging study,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,geneticheterogeneityinparoxysmalnonkinesigenicdyskinesia,Genetic heterogeneity in paroxysmal nonkinesigenic dyskinesia,Genetic heterogeneity in paroxysmal nonkinesigenic dyskinesia,"['A Jon Stoessl', 'Terry Snutch']","['A Jon Stoessl', 'Terry Snutch']"
,,,,,,ssdetectdevelopmentandvalidationofanewstrategyforsourcebasedmorphometryinmultiscannerstudies,SS‐Detect: Development and Validation of a New Strategy for Source‐Based Morphometry in Multiscanner Studies,SS-Detect: Development and Validation of a New Strategy for Source-Based Morphometry in Multiscanner Studies,"['Fidel Vila-Rodriguez', 'Sophia Frangou']","['Fidel Vila-Rodriguez', 'Sophia Frangou']"
,,,,,,optogeneticmappingafterstrokerevealsnetworkwidescalingoffunctionalconnectionsandheterogeneousrecoveryoftheperiinfarct,Optogenetic mapping after stroke reveals network-wide scaling of functional connections and heterogeneous recovery of the peri-infarct,Optogenetic mapping after stroke reveals network-wide scaling of functional connections and heterogeneous recovery of the peri-infarct,"['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Jeffrey LeDue']"
,,,,,,measurementsofdopaminergicfunctionintheratbrainusing18ffdopapetandmicrodialysis,Measurements of Dopaminergic Function in the Rat Brain Using [18F] FDOPA PET and Microdialysis,Measurements of Dopaminergic Function in the Rat Brain Using [<sup>18</sup>F]FDOPA PET and Microdialysis,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,mesoscalebrainexploreraflexiblepythonbasedimageanalysisandvisualizationtool,"Mesoscale brain explorer, a flexible python-based image analysis and visualization tool","Mesoscale brain explorer, a flexible python-based image analysis and visualization tool","['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Jeffrey LeDue']"
,,,,,,peripheralolfactoryensheathingcellsreducescarandcavityformationandpromoteregenerationafterspinalcordinjury,Peripheral olfactory ensheathing cells reduce scar and cavity formation and promote regeneration after spinal cord injury,Peripheral Olfactory Ensheathing Cells Reduce Scar and Cavity Formation and Promote Regeneration after Spinal Cord Injury,"['Wolfram Tetzlaff', 'Jane Roskams']","['Wolfram Tetzlaff', 'Jane Roskams']"
,,,,,,asymptoticanalysisofrobustlassosinthepresenceofnoisewithlargevariance,Asymptotic analysis of robust LASSOs in the presence of noise with large variance,Asymptotic analysis of robust LASSOs in the presence of noise with large variance,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,positronemissiontomographyinpallidopontonigraldegenerationppndfamilyfrontotemporaldementiawithparkinsonismlinkedtochromosome17andpointmutationintaugene,Positron emission tomography in pallido-ponto-nigral degeneration (PPND) family (frontotemporal dementia with parkinsonism linked to chromosome 17 and point mutation in tau gene),Positron emission tomography in pallido-ponto-nigral degeneration (PPND) family (frontotemporal dementia with parkinsonism linked to chromosome 17 and point mutation in tau gene),"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,postsynaptictrkcandpresynapticptpσfunctionasabidirectionalexcitatorysynapticorganizingcomplex,Postsynaptic TrkC and presynaptic PTPσ function as a bidirectional excitatory synaptic organizing complex,Postsynaptic TrkC and presynaptic PTPσ function as a bidirectional excitatory synaptic organizing complex,"['Tim H. Murphy', 'Yu Tian Wang']","['Tim H. Murphy', 'Yu Tian Wang']"
,,,,,,directingstemcellsandprogenitorcellsonthestageofspinalcordinjury,Directing stem cells and progenitor cells on the stage of spinal cord injury.,Directing stem cells and progenitor cells on the stage of spinal cord injury,"['Wolfram Tetzlaff', 'Jane Roskams']","['Wolfram Tetzlaff', 'Jane Roskams']"
,,,,,,decisionsunderriskinparkinsonsdiseasepreservedevaluationofprobabilityandmagnitude,Decisions under risk in Parkinson’s disease: Preserved evaluation of probability and magnitude,Decisions under risk in Parkinson's disease: Preserved evaluation of probability and magnitude,"['Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell']","['Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell']"
,,,,,,regulationofhippocampalexcitatorysynapsesbythezdhhc5palmitoylacyltransferase,Regulation of hippocampal excitatory synapses by the Zdhhc5 palmitoyl acyltransferase,Regulation of hippocampal excitatory synapses by the Zdhhc5 palmitoyl acyltransferase,"['Shernaz Bamji', 'Lynn Raymond']","['Shernaz Bamji', 'Lynn Raymond']"
,,,,,,statisticalshapemodelto3dultrasoundregistrationforspineinterventionsusingenhancedlocalphasefeatures,Statistical shape model to 3D ultrasound registration for spine interventions using enhanced local phase features,Statistical shape model to 3D ultrasound registration for spine interventions using enhanced local phase features,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
,,,,,,incorporatingerrorratecontrolledpriorinmodellingbrainfunctionalconnectivity,Incorporating Error-Rate-Controlled Prior in Modelling Brain Functional Connectivity,Incorporating error-rate-controlled prior in modelling brain functional connectivity,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,networkanalysisofmesoscaleopticalrecordingstoassessregionalfunctionalconnectivity,"Network analysis of mesoscale optical recordings to assess regional, functional connectivity","Network analysis of mesoscale optical recordings to assess regional, functional connectivity","['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Jeffrey LeDue']"
,,,,,,morphologicalalterationsinthecaudateputamenpallidumandthalamusinparkinsonsdisease,"Morphological alterations in the caudate, putamen, pallidum, and thalamus in Parkinson's disease","Morphological alterations in the caudate, putamen, pallidum, and thalamus in Parkinson's disease","['Martin McKeown', 'Silke Cresswell']","['Martin McKeown', 'Silke Cresswell']"
,,,,,,jointtimeinvariantandtimedependentbrainconnectivitynetworkestimation,Joint time invariant and time dependent brain connectivity network estimation,Joint time invariant and time dependent brain connectivity network estimation,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,antidepressanteffectsofketamineandtherolesofampaglutamatereceptorsandothermechanismsbeyondnmdareceptorantagonism,Antidepressant effects of ketamine and the roles of AMPA glutamate receptors and other mechanisms beyond NMDA receptor antagonism,Antidepressant effects of ketamine and the roles of AMPA glutamate receptors and other mechanisms beyond NMDA receptor antagonism,"['Anthony Phillips', 'Yu Tian Wang']","['Anthony Phillips', 'Yu Tian Wang']"
,,,,,,activationoftheventralsubiculumreinvigoratesbehaviorafterfailuretoachieveagoalimplicationsfordopaminergicmodulationofmotivationalprocesses,Activation of the ventral subiculum reinvigorates behavior after failure to achieve a goal: Implications for dopaminergic modulation of motivational processes,Activation of the ventral subiculum reinvigorates behavior after failure to achieve a goal: Implications for dopaminergic modulation of motivational processes,"['Anthony Phillips', 'Jeremy Seamans']","['Anthony Phillips', 'Jeremy Seamans']"
,,,,,,differentialregulationofsynapticandextrasynapticnmdareceptors,Differential regulation of synaptic and extra-synaptic NMDA receptors,Differential regulation of synaptic and extrasynaptic NMDA receptors,"['Tim H. Murphy', 'Lynn Raymond']","['Tim H. Murphy', 'Lynn Raymond']"
,,,,,,rapidmorphologicplasticityofperiinfarctdendriticspinesafterfocalischemicstroke,Rapid morphologic plasticity of peri-infarct dendritic spines after focal ischemic stroke,Rapid morphologic plasticity of peri-infarct dendritic spines after focal ischemic stroke,"['Tim H. Murphy', 'Craig E. Brown']","['Tim H. Murphy', 'Craig E. Brown']"
,,,,,,parcellationofthehumanhippocampusbasedongraymattervolumecovariancereplicableresultsonhealthyyoungadults,Parcellation of the human hippocampus based on gray matter volume covariance: Replicable results on healthy young adults,Parcellation of the human hippocampus based on gray matter volume covariance: Replicable results on healthy young adults,"['Fidel Vila-Rodriguez', 'Z. Jane Wang']","['Fidel Vila-Rodriguez', 'Z. Jane Wang']"
,,,,,,amphetamineexertsdosedependentchangesinprefrontalcortexattractordynamicsduringworkingmemory,Amphetamine exerts dose-dependent changes in prefrontal cortex attractor dynamics during working memory,Amphetamine exerts dose-dependent changes in prefrontal cortex attractor dynamics during working memory,"['Anthony Phillips', 'Jeremy Seamans']","['Anthony Phillips', 'Jeremy Seamans']"
,,,,,,realtimeimagingofglutamateclearancerevealsnormalstriataluptakeinhuntingtondiseasemousemodels,Real-time imaging of glutamate clearance reveals normal striatal uptake in Huntington disease mouse models,Real-time imaging of glutamate clearance reveals normal striatal uptake in Huntington disease mouse models,"['Tim H. Murphy', 'Lynn Raymond']","['Tim H. Murphy', 'Lynn Raymond']"
,,,,,,atridirectionalmethodforcorticomuscularcouplinganalysisinparkinsonsdisease,A tridirectional method for corticomuscular coupling analysis in Parkinson's disease,A tridirectional method for corticomuscular coupling analysis in Parkinson's disease,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,multiscaleimaginginformstranslationalmousemodelingofneurologicaldisease,Multiscale imaging informs translational mouse modeling of neurological disease,Multiscale imaging informs translational mouse modeling of neurological disease,"['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Jeffrey LeDue']"
,,,,,,fdgpetinpresymptomaticc9orf72mutationcarriers,FDG-PET in presymptomatic C9orf72 mutation carriers,FDG-PET in presymptomatic C9orf72 mutation carriers,"['Ian Mackenzie', 'Vesna Sossi']","['Ian Mackenzie', 'Vesna Sossi']"
,,,,,,optogeneticapproachesforfunctionalmousebrainmapping,Optogenetic approaches for functional mouse brain mapping,Optogenetic approaches for functional mouse brain mapping,"['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Jeffrey LeDue']"
,,,,,,imagingoftheparkinsonianbraininrelationtorestorativetherapy,Imaging of the Parkinsonian Brain in Relation to Restorative Therapy,Imaging of the parkinsonian brain in relation to restorative therapy,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,replytolettertotheeditoristhereanythingmoretolearnfromswedd,Reply to letter to the editor: Is there anything more to learn from SWEDD?,Reply to letter to the editor: Is there anything more to learn from SWEDD?,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,petstudyoftheeffectsofvalproateondopamined2receptorsinneurolepticandmoodstabilizernaivepatientswithnonpsychoticmania,PET study of the effects of valproate on dopamine D2 receptors in neuroleptic-and mood-stabilizer-naive patients with nonpsychotic mania,PET study of the effects of valproate on dopamine D<inf>2</inf> receptors in neuroleptic- and mood-stabilizer-naive patients with nonpsychotic mania,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,multiblockplsmodelforgroupcorticomuscularactivityanalysisinparkinsondisease,Multiblock PLS model for group corticomuscular activity analysis in Parkinson disease,Multiblock PLS model for group corticomuscular activity analysis in Parkinson disease,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,θβbutnotαbandeegconnectivityhasimplicationsfordualtaskperformanceinparkinsonsdisease,"θ, β But not α-band EEG connectivity has implications for dual task performance in Parkinson’s disease","θ, β But not α-band EEG connectivity has implications for dual task performance in Parkinson's disease","['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,bayesiannetworkmodelingfordiscoveringdependentsynergiesamongmusclesinreachingmovements,Bayesian network modeling for discovering “dependent synergies” among muscles in reaching movements,"Bayesian network modeling for discovering ""dependent synergies"" among muscles in reaching movements","['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,positronemissiontomographyinparkinsonsdisease,Positron emission tomography in Parkinson’s disease,Positron emission tomography in Parkinson’s disease,"['A Jon Stoessl', 'Silke Cresswell']","['A Jon Stoessl', 'Silke Cresswell']"
,,,,,,ketamineanditsmetabolite2r6rhnkrestorehippocampalltpandlongtermspatialmemoryinthewistarkyotoratmodelofdepression,"Ketamine and its metabolite,(2R, 6R)-HNK, restore hippocampal LTP and long-term spatial memory in the Wistar-Kyoto rat model of depression","Ketamine and its metabolite, (2R,6R)-HNK, restore hippocampal LTP and long-term spatial memory in the Wistar-Kyoto rat model of depression","['Anthony Phillips', 'Yu Tian Wang']","['Anthony Phillips', 'Yu Tian Wang']"
,,,,,,kcc2driveschloridemicrodomainformationindendriticblebbing,KCC2 drives chloride microdomain formation in dendritic blebbing,KCC2 drives chloride microdomain formation in dendritic blebbing,"['Brian MacVicar', 'Jeffrey LeDue']","['Brian MacVicar', 'Jeffrey LeDue']"
,,,,,,biomechanicalaspectsofspinalcordinjury,Biomechanical aspects of spinal cord injury,Biomechanical Aspects of Spinal Cord Injury,"['Peter Cripton', 'Wolfram Tetzlaff']","['Peter Cripton', 'Wolfram Tetzlaff']"
,,,,,,activationofneuronalnmdareceptorstriggerstransientatpmediatedmicroglialprocessoutgrowth,Activation of neuronal NMDA receptors triggers transient ATP-mediated microglial process outgrowth,Activation of neuronal NMDA receptors triggers transient ATP-mediated microglial process outgrowth,"['Brian MacVicar', 'Jeffrey LeDue']","['Brian MacVicar', 'Jeffrey LeDue']"
,,,,,,corticalfunctionalhyperconnectivityinamousemodelofdepressionandselectivenetworkeffectsofketamine,Cortical functional hyperconnectivity in a mouse model of depression and selective network effects of ketamine,Cortical functional hyperconnectivity in a mouse model of depression and selective network effects of ketamine,"['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Jeffrey LeDue']"
,,,,,,imagingofcompensatorymechanismsinparkinsonsdisease,Imaging of compensatory mechanisms in Parkinson's disease,Imaging of compensatory mechanisms in Parkinson's disease,"['Martin McKeown', 'Silke Cresswell']","['Martin McKeown', 'Silke Cresswell']"
,,,,,,abayesianlassoviareversiblejumpmcmc,A Bayesian Lasso via reversible-jump MCMC,A Bayesian Lasso via reversible-jump MCMC,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,alteredeegalphaandthetaoscillationscharacterizeapathyinparkinsonsdiseaseduringincentivizedmovement,Altered EEG alpha and theta oscillations characterize apathy in Parkinson's disease during incentivized movement,Altered EEG alpha and theta oscillations characterize apathy in Parkinson's disease during incentivized movement,"['Martin McKeown', 'Silke Cresswell']","['Martin McKeown', 'Silke Cresswell']"
,,,,,,highthroughputautomatedhomecagemesoscopicfunctionalimagingofmousecortex,High-throughput automated home-cage mesoscopic functional imaging of mouse cortex,High-throughput automated home-cage mesoscopic functional imaging of mouse cortex,"['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Jeffrey LeDue']"
,,,,,,pbb3bindinginapatientwithcorticobasalsyndrome,PBB3 binding in a patient with corticobasal syndrome.,PBB3 binding in a patient with corticobasal syndrome,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,imagingstriataldopaminergicfunctioninphospholipasea2groupvirelatedparkinsonism,Imaging striatal dopaminergic function in Phospholipase A2 Group VI–related parkinsonism,Imaging striatal dopaminergic function in Phospholipase A2 Group VI-related parkinsonism,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,dnajc13geneticvariantsinparkinsonism,DNAJC13 genetic variants in parkinsonism,DNAJC13 genetic variants in parkinsonism,"['Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell']","['Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell']"
,,,,,,mitigationofaugmentedextrasynapticnmdarsignalingandapoptosisincorticostriatalcoculturesfromhuntingtonsdiseasemice,Mitigation of augmented extrasynaptic NMDAR signaling and apoptosis in cortico-striatal co-cultures from Huntington's disease mice,Mitigation of augmented extrasynaptic NMDAR signaling and apoptosis in cortico-striatal co-cultures from Huntington's disease mice,"['Yu Tian Wang', 'Lynn Raymond']","['Yu Tian Wang', 'Lynn Raymond']"
,,,,,,thexlinkedintellectualdisabilitygenezdhhc9isessentialfordendriteoutgrowthandinhibitorysynapseformation,The X-linked intellectual disability gene Zdhhc9 is essential for dendrite outgrowth and inhibitory synapse formation,The X-Linked Intellectual Disability Gene Zdhhc9 Is Essential for Dendrite Outgrowth and Inhibitory Synapse Formation,"['Shernaz Bamji', 'Terry Snutch']","['Shernaz Bamji', 'Terry Snutch']"
,,,,,,relatinghistopathologyandmechanicalstraininexperimentalcontusionspinalcordinjuryinaratmodel,Relating histopathology and mechanical strain in experimental contusion spinal cord injury in a rat model,Relating histopathology and mechanical strain in experimental contusion spinal cord injury in a rat model,"['Peter Cripton', 'Wolfram Tetzlaff']","['Peter Cripton', 'Wolfram Tetzlaff']"
,,,,,,oralmethylphenidatefailstoelicitsignificantchangesinextracellularputaminaldopaminelevelsinparkinsonsdiseasepatientspositronemissiontomographicstudies,Oral methylphenidate fails to elicit significant changes in extracellular putaminal dopamine levels in Parkinson's disease patients: positron emission tomographic studies,Oral methylphenidate fails to elicit significant changes in extracellular putaminal dopamine levels in Parkinson's disease patients: Positron emission tomographic studies,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,disruptionoftheendocyticproteinhip1resultsinneurologicaldeficitsanddecreasedampareceptortrafficking,Disruption of the endocytic protein HIP1 results in neurological deficits and decreased AMPA receptor trafficking,Disruption of the endocytic protein HIP1 results in neurological deficits and decreased AMPA receptor trafficking,"['Yu Tian Wang', 'Lynn Raymond']","['Yu Tian Wang', 'Lynn Raymond']"
,,,,,,intermittentthetabursttranscranialmagneticstimulationinduceshippocampalmossyfibreplasticityinmalebutnotfemalemice,Intermittent theta burst transcranial magnetic stimulation induces hippocampal mossy fibre plasticity in male but not female mice,Intermittent theta burst transcranial magnetic stimulation induces hippocampal mossy fibre plasticity in male but not female mice,"['Fidel Vila-Rodriguez', 'Jason Snyder']","['Fidel Vila-Rodriguez', 'Jason Snyder']"
,,,,,,greateractivationofsecondarymotorareasisrelatedtolessarmuseafterstroke,Greater activation of secondary motor areas is related to less arm use after stroke,Greater Activation of Secondary Motor Areas Is Related to Less Arm Use After Stroke,"['Lara Boyd', 'Martin McKeown']","['Lara Boyd', 'Martin McKeown']"
,,,,,,eegsourceextractionbyautoregressivesourceseparationrevealsabnormalsynchronizationinparkinsonsdisease,EEG source extraction by autoregressive source separation reveals abnormal synchronization in Parkinson's disease,EEG source extraction by autoregressive source separation reveals abnormal synchronization in Parkinson's disease,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,peripherallyderivedolfactoryensheathingcellsdonotpromoteprimaryafferentregenerationfollowingdorsalrootinjury,Peripherally–derived olfactory ensheathing cells do not promote primary afferent regeneration following dorsal root injury,Peripherally-derived olfactory ensheathing cells do not promote primary afferent regeneration following dorsal root injury,"['Wolfram Tetzlaff', 'Jane Roskams']","['Wolfram Tetzlaff', 'Jane Roskams']"
,,,,,,alphasynucleinph50qanovelpathogenicmutationforparkinsonsdisease,"Alpha‐synuclein p. H50Q, a novel pathogenic mutation for Parkinson's disease","Alpha-synuclein p.H50Q, a novel pathogenic mutation for Parkinson's disease","['A Jon Stoessl', 'Silke Cresswell']","['A Jon Stoessl', 'Silke Cresswell']"
,,,,,,winconcurrentsensorycuescanpromoteriskierchoice,Win-concurrent sensory cues can promote riskier choice,Win-concurrent sensory cues can promote riskier choice,"['A Jon Stoessl', 'Catharine Winstanley']","['A Jon Stoessl', 'Catharine Winstanley']"
,,,,,,spontaneouscorticalactivityalternatesbetweenmotifsdefinedbyregionalaxonalprojections,Spontaneous cortical activity alternates between motifs defined by regional axonal projections,Spontaneous cortical activity alternates between motifs defined by regional axonal projections,"['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Yu Tian Wang', 'Jeffrey LeDue']"
,,,,,,morphinewithdrawalinducedhyperalgesiainmodelsofacuteandextendedwithdrawalisattenuatedbyltetrahydropalmatine,Morphine Withdrawal-Induced Hyperalgesia in Models of Acute and Extended Withdrawal Is Attenuated by l-Tetrahydropalmatine,Morphine Withdrawal-Induced Hyperalgesia in Models of Acute and Extended Withdrawal Is Attenuated by l-Tetrahydropalmatine,"['Anthony Phillips', 'Terry Snutch']","['Anthony Phillips', 'Terry Snutch']"
,,,,,,automatedtasktrainingandlongitudinalmonitoringofmousemesoscalecorticalcircuitsusinghomecages,Automated task training and longitudinal monitoring of mouse mesoscale cortical circuits using home cages,Automated task training and longitudinal monitoring of mouse mesoscale cortical circuits using home cages,"['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Jeffrey LeDue']"
,,,,,,spectralclusteringoffmridatawithinregionsofinterestclarificationofldopaeffectsinparkinsonsdisease,Spectral Clustering of fMRI Data within Regions of Interest: Clarification of L-dopa effects in Parkinson's Disease,Spectral clustering of fMRI data within regions of interest: clarification of L-dopa effects in parkinson's disease,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,costeffectiveraspberrypibasedradiofrequencyidentificationtaggingofmicesuitableforautomatedinvivoimaging,Cost effective raspberry pi-based radio frequency identification tagging of mice suitable for automated in vivo imaging,Cost effective raspberry pi-based radio frequency identification tagging of mice suitable for automated in vivo imaging,"['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Jeffrey LeDue']"
,,,,,,pbb3imaginginparkinsoniandisordersevidenceforbindingtotauandotherproteins,PBB3 imaging in Parkinsonian disorders: evidence for binding to tau and other proteins,PBB3 imaging in Parkinsonian disorders: Evidence for binding to tau and other proteins,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
,,,,,,ageneralizedmultivariateautoregressivegmarbasedapproachforeegsourceconnectivityanalysis,A generalized multivariate autoregressive (GmAR)-based approach for EEG source connectivity analysis,A generalized multivariate autoregressive (GmAR)-based approach for EEG source connectivity analysis,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,genderdifferencesinparkinsonsdiseasedepression,Gender differences in Parkinson's disease depression,Gender differences in Parkinson's disease depression,"['Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell']","['Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell']"
,,,,,,waterreachingplatformforlongitudinalassessmentofcorticalactivityandfinemotorcoordinationdefectsinahuntingtondiseasemousemodel,Water-Reaching Platform for Longitudinal Assessment of Cortical Activity and Fine Motor Coordination Defects in a Huntington Disease Mouse Model,Water-Reaching Platform for Longitudinal Assessment of Cortical Activity and Fine Motor Coordination Defects in a Huntington Disease Mouse Model,"['Tim H. Murphy', 'Lynn Raymond']","['Tim H. Murphy', 'Lynn Raymond']"
,,,,,,learningbrainconnectivitywiththefalsediscoveryratecontrolledpcalgorithm,Learning brain connectivity with the false-discovery-rate-controlled PC-algorithm,Learning brain connectivity with the false-discovery-rate-controlled PC-algorithm,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,investigationofserotonergicparkinsonsdiseaserelatedcovariancepatternusing11cdasbpet,Investigation of serotonergic Parkinson's disease-related covariance pattern using [11C]-DASB/PET,Investigation of serotonergic Parkinson's disease-related covariance pattern using [<sup>11</sup>C]-DASB/PET,"['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']"
,,,,,,predictivevalueofacuteneuroplasticresponsetortmsintreatmentoutcomeindepressionaconcurrenttmsfmritrial,Predictive value of acute neuroplastic response to rTMS in treatment outcome in depression: a concurrent TMS-fMRI trial,Predictive Value of Acute Neuroplastic Response to rTMS in Treatment Outcome in Depression: A Concurrent TMS-fMRI Trial,"['Fidel Vila-Rodriguez', 'Sophia Frangou']","['Fidel Vila-Rodriguez', 'Sophia Frangou']"
